date,temp_mean,precip_sum,wind_max,station
2026-03,9.56,59.7,28.73,PARIS EST
2026-04,13.86,20.8,22.33,PARIS EST
2026-05,17.0,108.8,23.1,PARIS EST
2026-06,22.64,49.2,25.54,PARIS EST
2017-12,6.52,10.0,11.21,CHAMBERY CHALLES LES EAUX
2018-01,6.4,216.2,17.56,CHAMBERY CHALLES LES EAUX
2018-02,2.08,61.5,20.27,CHAMBERY CHALLES LES EAUX
2018-03,6.61,175.7,21.22,CHAMBERY CHALLES LES EAUX
2018-04,14.06,52.9,16.12,CHAMBERY CHALLES LES EAUX
2018-05,16.52,146.5,16.97,CHAMBERY CHALLES LES EAUX
2018-06,20.65,70.7,16.74,CHAMBERY CHALLES LES EAUX
2018-07,24.4,38.4,14.84,CHAMBERY CHALLES LES EAUX
2018-08,22.94,87.7,16.33,CHAMBERY CHALLES LES EAUX
2018-09,19.82,26.4,19.84,CHAMBERY CHALLES LES EAUX
2018-10,14.15,97.0,13.24,CHAMBERY CHALLES LES EAUX
2018-11,8.57,98.1,9.42,CHAMBERY CHALLES LES EAUX
2018-12,5.72,162.0,15.48,CHAMBERY CHALLES LES EAUX
2019-01,2.53,109.4,16.28,CHAMBERY CHALLES LES EAUX
2019-02,5.79,52.0,20.68,CHAMBERY CHALLES LES EAUX
2019-03,8.64,92.7,20.55,CHAMBERY CHALLES LES EAUX
2019-04,10.99,116.3,18.9,CHAMBERY CHALLES LES EAUX
2019-05,13.29,123.2,22.67,CHAMBERY CHALLES LES EAUX
2019-06,21.36,128.4,24.58,CHAMBERY CHALLES LES EAUX
2019-07,24.25,47.3,19.35,CHAMBERY CHALLES LES EAUX
2019-08,22.43,73.3,14.12,CHAMBERY CHALLES LES EAUX
2019-09,18.61,54.4,16.18,CHAMBERY CHALLES LES EAUX
2019-10,14.73,161.3,10.59,CHAMBERY CHALLES LES EAUX
2019-11,7.75,207.8,17.73,CHAMBERY CHALLES LES EAUX
2019-12,6.21,149.3,15.04,CHAMBERY CHALLES LES EAUX
2020-01,4.83,56.2,16.52,CHAMBERY CHALLES LES EAUX
2020-02,7.24,109.7,20.37,CHAMBERY CHALLES LES EAUX
2020-03,8.59,99.1,15.03,CHAMBERY CHALLES LES EAUX
2020-04,14.57,73.2,16.45,CHAMBERY CHALLES LES EAUX
2020-05,16.7,99.1,16.52,CHAMBERY CHALLES LES EAUX
2020-06,18.87,121.7,14.4,CHAMBERY CHALLES LES EAUX
2020-07,23.12,36.6,13.71,CHAMBERY CHALLES LES EAUX
2020-08,22.73,84.9,14.84,CHAMBERY CHALLES LES EAUX
2020-09,18.82,132.2,14.24,CHAMBERY CHALLES LES EAUX
2020-10,11.66,193.8,16.97,CHAMBERY CHALLES LES EAUX
2020-11,8.62,34.9,15.19,CHAMBERY CHALLES LES EAUX
2020-12,4.94,169.1,13.24,CHAMBERY CHALLES LES EAUX
2021-01,3.17,189.8,15.48,CHAMBERY CHALLES LES EAUX
2021-02,7.49,56.8,17.3,CHAMBERY CHALLES LES EAUX
2021-03,8.41,86.0,17.78,CHAMBERY CHALLES LES EAUX
2021-04,10.3,109.6,19.84,CHAMBERY CHALLES LES EAUX
2021-05,13.63,165.2,18.53,CHAMBERY CHALLES LES EAUX
2021-06,20.59,101.4,13.4,CHAMBERY CHALLES LES EAUX
2021-07,20.45,205.5,15.94,CHAMBERY CHALLES LES EAUX
2021-08,20.14,69.1,13.71,CHAMBERY CHALLES LES EAUX
2021-09,19.09,83.4,10.39,CHAMBERY CHALLES LES EAUX
2021-10,12.35,141.6,14.92,CHAMBERY CHALLES LES EAUX
2021-11,6.29,87.4,14.51,CHAMBERY CHALLES LES EAUX
2021-12,4.05,187.7,10.83,CHAMBERY CHALLES LES EAUX
2022-01,2.54,53.3,18.06,CHAMBERY CHALLES LES EAUX
2022-02,5.77,98.4,15.26,CHAMBERY CHALLES LES EAUX
2022-03,9.21,45.3,13.66,CHAMBERY CHALLES LES EAUX
2022-04,11.71,87.7,18.58,CHAMBERY CHALLES LES EAUX
2022-05,18.87,72.5,18.29,CHAMBERY CHALLES LES EAUX
2022-06,22.32,104.8,19.23,CHAMBERY CHALLES LES EAUX
2022-07,25.21,3.8,18.36,CHAMBERY CHALLES LES EAUX
2022-08,24.55,61.2,17.38,CHAMBERY CHALLES LES EAUX
2022-09,17.36,168.2,14.77,CHAMBERY CHALLES LES EAUX
2022-10,16.82,97.6,18.08,CHAMBERY CHALLES LES EAUX
2022-11,9.64,210.2,12.64,CHAMBERY CHALLES LES EAUX
2022-12,5.89,138.9,9.59,CHAMBERY CHALLES LES EAUX
2023-01,3.92,151.2,18.03,CHAMBERY CHALLES LES EAUX
2023-02,5.63,8.9,24.44,CHAMBERY CHALLES LES EAUX
2023-03,9.0,164.7,18.86,CHAMBERY CHALLES LES EAUX
2023-04,10.75,97.4,16.45,CHAMBERY CHALLES LES EAUX
2023-05,15.78,92.8,19.48,CHAMBERY CHALLES LES EAUX
2023-06,21.45,85.4,13.38,CHAMBERY CHALLES LES EAUX
2023-07,23.22,77.9,19.97,CHAMBERY CHALLES LES EAUX
2023-08,23.24,81.1,25.57,CHAMBERY CHALLES LES EAUX
2023-09,20.73,100.6,18.89,CHAMBERY CHALLES LES EAUX
2023-10,15.75,223.7,15.82,CHAMBERY CHALLES LES EAUX
2023-11,8.04,267.3,20.47,CHAMBERY CHALLES LES EAUX
2023-12,5.77,160.7,11.89,CHAMBERY CHALLES LES EAUX
2024-01,5.05,121.4,16.28,CHAMBERY CHALLES LES EAUX
2024-02,7.69,90.8,15.82,CHAMBERY CHALLES LES EAUX
2024-03,9.72,187.9,17.83,CHAMBERY CHALLES LES EAUX
2024-04,11.69,101.7,22.31,CHAMBERY CHALLES LES EAUX
2024-05,15.17,206.8,18.95,CHAMBERY CHALLES LES EAUX
2024-06,19.72,122.8,19.24,CHAMBERY CHALLES LES EAUX
2024-07,22.81,125.0,13.71,CHAMBERY CHALLES LES EAUX
2024-08,23.6,48.7,13.71,CHAMBERY CHALLES LES EAUX
2024-09,16.31,215.9,20.27,CHAMBERY CHALLES LES EAUX
2024-10,14.98,142.3,17.13,CHAMBERY CHALLES LES EAUX
2024-11,8.6,78.2,23.76,CHAMBERY CHALLES LES EAUX
2024-12,3.97,129.9,16.18,CHAMBERY CHALLES LES EAUX
2025-01,4.44,195.3,18.91,CHAMBERY CHALLES LES EAUX
2025-02,5.67,52.2,16.74,CHAMBERY CHALLES LES EAUX
